date,actual_arima,predicted_arima,actual_lgbm,predicted_lgbm,actual,predicted
2023-02-12,69.75,78.11111111111111,69.75,75.33888931274414,69.75,74.20029
2023-02-13,75.75,76.61111111111111,75.75,75.15860256072014,75.75,72.84033
2023-02-14,83.33333333333333,73.47222222222223,83.33333333333333,75.17708373069763,83.33333333333333,72.92056
2023-02-15,72.83333333333333,76.27777777777777,72.83333333333333,75.42424288662997,72.83333333333333,71.407814
2023-02-16,74.66666666666667,77.30555555555556,74.66666666666667,75.34803973927217,74.66666666666667,73.22828
2023-02-17,73.66666666666667,76.94444444444444,73.66666666666667,75.32857186453683,73.66666666666667,70.00639
2023-02-18,74.75,73.72222222222223,74.75,75.28240776062012,74.75,70.086365
2023-02-19,71.91666666666667,74.36111111111111,71.91666666666667,75.26801836168444,71.91666666666667,72.857086
2023-02-20,71.58333333333333,73.44444444444446,71.58333333333333,75.17982482910156,71.58333333333333,71.993
2023-02-21,78.16666666666667,72.75,78.16666666666667,75.08760716364934,78.16666666666667,72.73164
2023-02-22,74.0,73.8888888888889,74.0,75.16458358764649,74.0,73.1765
2023-02-23,67.75,74.58333333333333,67.75,75.11331171822714,67.75,74.218285
2023-02-24,81.08333333333333,73.30555555555556,81.08333333333333,76.82711235916904,81.08333333333333,77.150444
2023-02-25,71.83333333333333,74.27777777777777,71.83333333333333,74.95427823495868,71.83333333333333,74.25362
2023-02-26,68.83333333333333,73.55555555555554,68.83333333333333,74.35807351391763,68.83333333333333,74.698555
2023-02-27,69.66666666666667,73.91666666666666,69.66666666666667,77.37222344236558,69.66666666666667,75.295906
2023-02-28,72.25,70.1111111111111,72.25,75.74218581642792,72.25,75.18304
2023-03-01,74.41666666666667,70.25,74.41666666666667,75.47500146172848,74.41666666666667,77.57874
2023-03-02,75.41666666666667,72.11111111111111,75.41666666666667,74.73644477979161,75.41666666666667,77.61427
2023-03-03,75.83333333333333,74.02777777777779,75.83333333333333,73.55396659003543,75.83333333333333,77.29356
2023-03-04,73.91666666666667,75.22222222222223,73.91666666666667,72.81232179862319,73.91666666666667,77.06018
2023-03-05,73.58333333333333,75.05555555555556,73.58333333333333,73.18545248626961,73.58333333333333,76.477974
2023-03-06,67.58333333333333,74.44444444444444,67.58333333333333,76.46453346336176,67.58333333333333,75.16578
2023-03-07,71.75,71.69444444444444,71.75,75.32600987225844,71.75,75.88472
2023-03-08,76.58333333333333,70.97222222222221,76.58333333333333,75.048500480506,76.58333333333333,76.03496
2023-03-09,74.83333333333333,71.97222222222221,74.83333333333333,74.95585932514419,74.83333333333333,74.119026
2023-03-10,71.33333333333333,74.38888888888887,71.33333333333333,73.63167693543834,71.33333333333333,73.992325
2023-03-11,74.25,74.24999999999999,74.25,75.3192395762307,74.25,76.6875
2023-03-12,76.41666666666667,73.47222222222221,76.41666666666667,75.56467321119577,76.41666666666667,76.600685
2023-03-13,80.83333333333333,74.0,80.83333333333333,74.48318944487494,80.83333333333333,74.239395
2023-03-14,70.5,77.16666666666667,70.5,73.21060272946637,70.5,70.506836
2023-03-15,71.66666666666667,75.91666666666667,71.66666666666667,74.3671626325604,71.66666666666667,71.15952
2023-03-16,80.66666666666667,74.33333333333333,80.66666666666667,75.91468961758319,80.66666666666667,71.165405
2023-03-17,76.41666666666667,74.27777777777779,76.41666666666667,75.44436425981253,76.41666666666667,70.48279
2023-03-18,74.16666666666667,76.25,74.16666666666667,72.9082730018843,74.16666666666667,71.35569
2023-03-19,80.75,77.08333333333333,80.75,72.8797309913348,80.75,72.33587
2023-03-20,70.41666666666667,77.11111111111111,70.41666666666667,76.04290819535885,70.41666666666667,70.68537
2023-03-21,72.08333333333333,75.11111111111113,72.08333333333333,73.70686415680369,72.08333333333333,72.214325
2023-03-22,70.5,74.41666666666667,70.5,75.73059204468201,70.5,71.00827
2023-03-23,71.16666666666667,71.0,71.16666666666667,74.44396660806974,71.16666666666667,70.72508
2023-03-24,70.33333333333333,71.25,70.33333333333333,74.26381581519837,70.33333333333333,70.13931
2023-03-25,69.5,70.66666666666667,69.5,73.67486773135793,69.5,71.77843
2023-03-26,73.91666666666667,70.33333333333333,73.91666666666667,73.13472521983034,73.91666666666667,71.15728
2023-03-27,78.0,71.25,78.0,73.60051456780542,78.0,72.820755
2023-03-28,70.91666666666667,73.80555555555556,70.91666666666667,75.54111255367141,70.91666666666667,70.70337
2023-03-29,82.33333333333333,74.27777777777779,82.33333333333333,73.63395847580595,82.33333333333333,73.580215
2023-03-30,78.91666666666667,77.08333333333333,78.91666666666667,75.08302684136098,78.91666666666667,71.3416
2023-03-31,68.41666666666667,77.3888888888889,68.41666666666667,73.2027706520523,68.41666666666667,71.70311
